Mağaza,Ürün Grubu,Gerçek Satış Ortalaması,Tahmin Ortalaması,Ortalama Hata (%),Yorum
9,DELI,585.0704778763127,591.4791040931078,inf,Tahmin fazla (overpredict)
9,EGGS,192.72287047841303,196.60395646499856,inf,Tahmin fazla (overpredict)
9,"LIQUOR,WINE,BEER",51.767794632438736,49.52929785301848,inf,Tahmin fazla (overpredict)
9,MEATS,377.1600038448075,378.9296015046102,inf,Tahmin fazla (overpredict)
9,POULTRY,484.227579924154,485.08927343585833,inf,Tahmin fazla (overpredict)
9,PREPARED FOODS,88.92163241306885,87.26411620327374,inf,Tahmin fazla (overpredict)
10,BEVERAGES,898.2882147024504,905.5306904528276,inf,Tahmin fazla (overpredict)
10,BREAD/BAKERY,113.6995332555426,116.35324455885578,inf,Tahmin fazla (overpredict)
10,CLEANING,783.7520420070011,784.1966748293329,inf,Tahmin fazla (overpredict)
10,DAIRY,251.31796966161028,256.0820536571432,inf,Tahmin fazla (overpredict)
10,DELI,249.06534422403732,252.202405659397,inf,Tahmin fazla (overpredict)
10,EGGS,48.84422403733956,50.14750739963517,inf,Tahmin fazla (overpredict)
10,FROZEN FOODS,44.49235532788798,44.31979502218549,inf,Tahmin fazla (overpredict)
10,MEATS,186.8498505245041,186.48685949580693,inf,Tahmin fazla (overpredict)
10,PERSONAL CARE,179.01808634772462,181.6542360490014,inf,Tahmin fazla (overpredict)
10,POULTRY,175.75655257001168,176.38202579339375,inf,Tahmin fazla (overpredict)
11,BREAD/BAKERY,607.1021003500583,605.7143837990686,inf,Tahmin fazla (overpredict)
11,CLEANING,1944.2298716452744,1958.2795587986805,inf,Tahmin fazla (overpredict)
11,DAIRY,514.0793465577597,517.6935303351571,inf,Tahmin fazla (overpredict)
11,DELI,430.58800606184366,434.98060907932455,inf,Tahmin fazla (overpredict)
11,EGGS,157.0997666277713,158.43235539030715,inf,Tahmin fazla (overpredict)
11,"LIQUOR,WINE,BEER",44.54959159859977,41.84190698079107,inf,Tahmin fazla (overpredict)
11,MEATS,620.8288861085181,614.4196028911572,inf,Tahmin fazla (overpredict)
11,PERSONAL CARE,392.7117852975496,400.5423804879442,inf,Tahmin fazla (overpredict)
13,BREAD/BAKERY,164.3051341890315,163.32012260148633,inf,Tahmin fazla (overpredict)
13,CLEANING,779.2969661610268,768.6755306497992,inf,Tahmin fazla (overpredict)
13,DELI,158.6131855309218,157.91178827808687,inf,Tahmin fazla (overpredict)
13,EGGS,52.15169194865811,52.89539187028608,inf,Tahmin fazla (overpredict)
13,FROZEN FOODS,35.125418330221706,33.71679772076896,inf,Tahmin fazla (overpredict)
13,GROCERY I,2719.161873395566,2679.3618873875,inf,Tahmin fazla (overpredict)
13,MEATS,152.91917776021003,150.29923848238002,inf,Tahmin fazla (overpredict)
13,PERSONAL CARE,180.19661610268375,179.45273541648933,inf,Tahmin fazla (overpredict)
13,POULTRY,118.75163741073511,117.47443767950064,inf,Tahmin fazla (overpredict)
15,BREAD/BAKERY,152.68961493582265,152.90883233396744,inf,Tahmin fazla (overpredict)
15,CLEANING,872.0834305717619,857.6492084292136,inf,Tahmin fazla (overpredict)
15,DAIRY,302.19603267211204,302.7031048396285,inf,Tahmin fazla (overpredict)
15,DELI,271.00058343057174,269.56619288694606,inf,Tahmin fazla (overpredict)
15,EGGS,78.47432905484247,79.0293085941149,inf,Tahmin fazla (overpredict)
15,"LIQUOR,WINE,BEER",24.88973162193699,22.44770220046223,inf,Tahmin fazla (overpredict)
15,PERSONAL CARE,181.68378063010505,181.3398230715347,inf,Tahmin fazla (overpredict)
15,POULTRY,124.6114509655776,122.98588271039574,inf,Tahmin fazla (overpredict)
15,PREPARED FOODS,30.82088681446908,29.195729089719563,inf,Tahmin fazla (overpredict)
16,BREAD/BAKERY,202.0904317386231,205.47145037160624,inf,Tahmin fazla (overpredict)
16,CLEANING,1001.3868144690782,1009.7586825633464,inf,Tahmin fazla (overpredict)
16,DELI,214.1499416569428,215.68468949654795,inf,Tahmin fazla (overpredict)
16,EGGS,178.22812135355892,179.4785836330924,inf,Tahmin fazla (overpredict)
16,FROZEN FOODS,42.79400584568261,42.30329406119165,inf,Tahmin fazla (overpredict)
16,"LIQUOR,WINE,BEER",36.21995332555426,34.57690274403095,inf,Tahmin fazla (overpredict)
16,MEATS,76.33102071878646,74.9344802137739,inf,Tahmin fazla (overpredict)
16,PERSONAL CARE,197.24737456242707,199.622024390685,inf,Tahmin fazla (overpredict)
16,POULTRY,94.2988417676196,92.8708159653291,inf,Tahmin fazla (overpredict)
16,PREPARED FOODS,41.76896149358226,41.073707299752165,inf,Tahmin fazla (overpredict)
17,BREAD/BAKERY,252.97432905484249,255.79441857621373,inf,Tahmin fazla (overpredict)
17,CLEANING,1068.62252042007,1074.1060489698325,inf,Tahmin fazla (overpredict)
17,EGGS,181.0647607934656,183.18699813305437,inf,Tahmin fazla (overpredict)
17,FROZEN FOODS,98.13231101400234,97.80810982060127,inf,Tahmin fazla (overpredict)
17,"LIQUOR,WINE,BEER",39.38273045507584,37.74488332690392,inf,Tahmin fazla (overpredict)
17,MEATS,253.02204491715287,250.7340580251043,inf,Tahmin fazla (overpredict)
17,PERSONAL CARE,229.16161026837807,231.60956626452665,inf,Tahmin fazla (overpredict)
17,POULTRY,301.6805148220537,300.3070377716608,inf,Tahmin fazla (overpredict)
17,PREPARED FOODS,65.42998833138857,63.483258237973466,inf,Tahmin fazla (overpredict)
19,BREAD/BAKERY,179.83780630105016,181.07877585045705,inf,Tahmin fazla (overpredict)
19,CLEANING,928.1353558926488,920.4507078503811,inf,Tahmin fazla (overpredict)
19,DAIRY,289.93173862310385,290.40781506002395,inf,Tahmin fazla (overpredict)
19,DELI,274.2100350058343,274.23292714045385,inf,Tahmin fazla (overpredict)
19,EGGS,64.90431738623104,65.5699171878318,inf,Tahmin fazla (overpredict)
19,FROZEN FOODS,62.66357052217036,61.81304061108689,inf,Tahmin fazla (overpredict)
19,"LIQUOR,WINE,BEER",34.09801633605601,32.12728359657127,inf,Tahmin fazla (overpredict)
19,MEATS,141.335014546091,139.22025219491985,inf,Tahmin fazla (overpredict)
19,POULTRY,122.37800888448076,120.26263179534996,inf,Tahmin fazla (overpredict)
19,PREPARED FOODS,33.49124854142357,32.4958563725712,inf,Tahmin fazla (overpredict)
23,CLEANING,573.9381563593932,570.6257075223207,inf,Tahmin fazla (overpredict)
23,DELI,133.5027403185531,133.84242451136294,inf,Tahmin fazla (overpredict)
23,EGGS,55.22170361726955,54.05134414388424,inf,Tahmin fazla (overpredict)
