Model,RMSE,MAPE,SMAPE,WMAPE,R²
Linear Regression,306.7807445735918,4.450417948750628,122.56896155466757,24.510334006741264,0.9213274840275907
Decision Tree,288.95540510100807,0.47761404775510014,32.95897429909545,15.751563104900956,0.9302043284537911
LightGBM,197.61790885834415,0.49036368877851727,88.25063939053436,12.842504048709925,0.9673547917260766
