store_nbr,avg_pred_sales,max,min
44,89.88375701487217,568.8222837433512,0.0
52,89.03338794911762,845.9868248638779,37.71847981941535
51,88.06503454315997,814.4800282735138,37.71847981941535
3,86.41213350652362,634.6822937898736,39.505290101032095
45,85.41768590562462,463.4861569423354,0.0
47,82.9310284599534,391.1082058759268,0.0
49,82.74017625689672,493.6525181157076,0.0
46,77.92958782278247,217.03352298484475,0.0
8,76.55793554829958,473.5142716657291,39.505290101032095
48,76.38754316039717,227.89632457467917,0.0
7,75.81056025265829,592.5515517231842,43.14932255303407
50,75.23588148114113,271.2081295909015,29.678566926307404
6,73.33068570442825,372.95825399582526,36.4472896285256
11,72.48860504643973,260.03613117231185,23.475226954314174
9,72.28097567031705,305.3851695166315,38.18433609537358
28,72.19243008328407,371.3353845348864,38.18433609537358
24,71.88445967439846,448.97375369061234,38.13018740334393
20,71.4533983000103,333.8858242104321,38.18433609537358
43,71.09663767418958,333.16873982676753,38.18433609537358
2,69.72168875706213,331.58293666740724,24.541179219699725
27,69.34869491109967,310.48715818637453,38.18433609537358
29,68.71813176920851,345.7145859893918,38.18433609537358
21,68.41113463801533,278.1427498243008,38.13018740334393
17,68.40186441066689,323.5082107254364,38.18433609537358
31,68.3314176993852,324.9306943863054,38.18433609537358
40,68.11792607423548,324.7099802772425,38.13018740334393
41,67.84937847886845,333.30429273913023,38.18433609537358
4,67.72976191080338,255.63122778546264,27.868882271856627
39,67.30236766488883,324.308824667338,38.18433609537358
54,67.07733735064176,335.23911385825033,37.69930669709777
38,67.0359499012428,317.79055341242986,38.18433609537358
36,66.5967774877297,276.5362880109916,38.18433609537358
53,66.40736486532013,233.22645087007731,12.826618530592006
25,65.8242371342773,217.49937926080295,36.18304847365632
5,65.54858363099567,255.63122778546264,39.505290101032095
1,65.344144264283,227.2497343405168,36.99430079337559
33,64.99413193091986,217.49937926080295,35.98226497125283
42,64.80366867547835,217.49937926080295,38.18433609537358
37,64.3386141490271,227.7204917713385,38.13018740334393
34,63.37573151289777,317.966097212371,27.93273682706469
23,63.24661003011158,217.49937926080295,38.13018740334393
18,63.12702134894422,225.67540471025023,38.18433609537358
14,62.3168560471997,235.5606482513868,38.18433609537358
12,61.52678271228992,217.49937926080295,38.18433609537358
19,61.18753892788529,278.78648428731225,38.18433609537358
22,61.07859285854193,217.49937926080295,36.18304847365632
16,61.01916349995046,217.49937926080295,38.13018740334393
15,60.90764647382513,217.49937926080295,38.18433609537358
10,60.76602540269882,217.49937926080295,38.18433609537358
26,60.015780761728905,217.49937926080295,38.18433609537358
30,59.43783386468827,217.49937926080295,38.13018740334393
35,59.313073269089,217.49937926080295,38.13018740334393
13,59.29750635394305,217.49937926080295,38.18433609537358
32,59.0031398215155,217.49937926080295,38.13018740334393
